Id,Id_linea,Nombre,Descripcion,Imagen,Brochure,Vademecum,Video,Params_dist,Proteina,Grasa,Humedad,Fibra,Ceniza,Eln,Orden,Keyword,Target
1,3,Becerro Engorda 16%,Alimento para crecimiento y engorda de becerro.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,16        ,2         ,12        ,14        ,18        ,38        ,3,NULL,NULL
2,3,Apiengorda Ganado,Alimento para engorda y finalización del ganado.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,13        ,2         ,12        ,12        ,10        ,51        ,4,NULL,NULL
3,3,Apiengorda Ganado con Zilpaterol,Alimento para finalizar el ganado en los últimos 30 días.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,14        ,2.5       ,12        ,10        ,8.5       ,53        ,5,NULL,NULL
4,3,Api-Carne RE,Alimento para engorda y finalización del ganado.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,11        ,2         ,12        ,10        ,10        ,55        ,6,NULL,NULL
5,72,Mezcla Regia,Alimento diseñado para complementar el ganado en condiciones de estiaje y/o pastoreo de forrajes fibrosos (baja calidad),Content/img/rumiantes/apiaba-gana-carne-balance-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,8         ,2         ,12        ,15        ,18        ,45        ,18,NULL,NULL
6,59,Mezcla Regia,Alimento diseñado para complementar el ganado en condiciones de estiaje y/o pastoreo de forrajes fibrosos (baja calidad),Content/img/rumiantes/malta-gana-carne-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,8         ,2         ,12        ,15        ,18        ,45        ,11,NULL,NULL
7,72,Sosten Multiusos,Alimento de mantenimiento usado para época de estiaje en el ganado bovino,Content/img/rumiantes/apiaba-gana-carne-balance-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,8         ,2         ,12        ,10        ,10        ,58        ,19,NULL,NULL
8,72,Engorda Ganado Sinaloense,Alimento para mantenimiento y engorda del ganado.,Content/img/rumiantes/apiaba-gana-carne-balance-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,12        ,2         ,12        ,15        ,20        ,39        ,21,NULL,NULL
9,72,Estiaje Sosten,Alimento de mantenimieto para época seca.,Content/img/rumiantes/apiaba-gana-carne-balance-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,12        ,2         ,12        ,15        ,20        ,39        ,22,NULL,NULL
10,59,Estiaje Sosten,Alimento de mantenimieto para época seca.,Content/img/rumiantes/malta-gana-carne-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,12        ,2         ,12        ,15        ,20        ,39        ,12,NULL,NULL
11,72,Ganacarne Multiusos,Alimento para engorda y finalización del ganado.,Content/img/rumiantes/apiaba-gana-carne-balance-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,12        ,2         ,12        ,13        ,13        ,48        ,23,NULL,NULL
12,3,Beef Rol Max,Alimento para finalizar el ganado en los últimos 30 días.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,12        ,3         ,12        ,9         ,8         ,53        ,7,NULL,NULL
13,3,Beef Rol Expo,Alimento para ganado de registro en exposición,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,Content/brochure/MANUAL_GCARNE_12_06_14.pdf,,,13        ,3         ,12        ,9         ,9         ,55        ,8,NULL,NULL
